id,area,date,start_time,end_time,duration_minutes,reason,voltage_level,reported_by,is_planned
1,Malkajgiri,2023-08-20,20:45,21:47,62,Transformer Failure,11kV,Telangana DISCOM App,0
2,Serilingampally,2024-06-19,11:30,16:34,304,Equipment Upgrade,11kV,TSECL Website,1
3,Quthbullapur,2023-12-31,01:30,05:53,263,Weather Damage,132kV,TSECL Website,0
4,Miyapur,2023-11-15,09:45,14:37,292,Transformer Failure,11kV,Telangana DISCOM App,0
5,Golconda,2024-06-29,08:00,14:15,375,Equipment Upgrade,11kV,Telangana DISCOM App,1
6,Madhapur,2024-04-14,10:15,13:53,218,Equipment Upgrade,11kV,Consumer Call,1
7,Vidyanagar,2024-06-30,23:30,04:20,290,Weather Damage,11kV,Social Media,0
8,Nallagandla,2024-04-09,05:00,08:08,188,Line Fault,11kV,Telangana DISCOM App,0
9,Raidurg,2024-05-19,09:45,17:10,445,Scheduled Maintenance,33kV,Telangana DISCOM App,1
10,Patancheru,2023-12-02,04:15,09:31,316,Load Shedding,11kV,Telangana DISCOM App,0
11,Dilsukhnagar,2024-05-21,15:15,15:38,23,Grid Overload,33kV,TSECL Website,0
12,Gandipet,2024-01-14,05:00,06:29,89,Transformer Failure,33kV,Telangana DISCOM App,0
13,Alwal,2023-11-11,08:45,12:03,198,Scheduled Maintenance,11kV,Social Media,1
14,KPHB,2024-05-19,06:30,06:50,20,Grid Overload,33kV,TSECL Website,0
15,Hitech City,2023-12-01,15:15,16:36,81,Weather Damage,11kV,Telangana DISCOM App,0
16,Chandanagar,2024-04-07,01:00,02:13,73,Transformer Failure,11kV,Consumer Call,0
17,Quthbullapur,2023-09-19,07:15,11:04,229,Transformer Failure,11kV,Consumer Call,0
18,Raidurg,2024-04-29,15:45,17:15,90,Grid Overload,33kV,Consumer Call,0
19,Golconda,2023-12-11,17:15,21:34,259,Equipment Upgrade,11kV,Telangana DISCOM App,1
20,Jubilee Hills,2024-05-15,21:00,00:48,228,Weather Damage,33kV,Consumer Call,0
21,Himayatnagar,2024-05-12,03:30,07:12,222,Grid Overload,11kV,Telangana DISCOM App,0
22,Vidyanagar,2024-03-03,08:45,11:57,192,Scheduled Maintenance,132kV,Telangana DISCOM App,1
23,Kothapet,2024-06-06,06:45,10:01,196,Transformer Failure,11kV,Telangana DISCOM App,0
24,Shamirpet,2023-08-28,16:30,20:51,261,Equipment Upgrade,33kV,Telangana DISCOM App,1
25,Charminar,2024-04-03,17:30,00:27,417,Equipment Upgrade,11kV,Telangana DISCOM App,1
26,Secunderabad,2024-04-27,13:15,17:43,268,Equipment Upgrade,11kV,Telangana DISCOM App,1
27,As Rao Nagar,2024-04-24,07:30,09:37,127,Line Fault,132kV,TSECL Website,0
28,As Rao Nagar,2023-07-06,17:45,20:19,154,Equipment Upgrade,11kV,Social Media,1
